1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,0,1,1,1,1,0,1,1,0,1
1,2,1,1,1,3,3,8,3,3,0,1,1,2,1
1,0,1,1,1,0,1,1,1,0,0,1,1,0,1
1,0,0,7,0,0,1,1,1,0,0,7,0,0,1
1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
1,4,3,3,3,3,3,3,3,3,3,3,3,4,1
1,4,1,1,1,0,1,1,1,0,1,1,1,4,1
1,4,4,4,4,4,0,1,0,4,4,4,4,4,1
1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
1,0,0,0,0,5,1,1,1,6,0,0,0,0,1
1,0,1,1,0,0,1,1,1,0,0,1,1,0,1
1,2,1,1,3,3,3,0,3,3,3,1,1,2,1
1,0,1,1,0,0,1,1,1,0,0,1,1,0,1
1,0,0,7,0,0,0,0,0,0,0,7,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
