1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
1,2,1,1,7,0,0,1,0,0,7,1,1,2,1
1,0,1,1,0,1,0,1,0,1,0,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,4,4,4,4,4,4,8,4,4,4,4,4,4,1
1,4,1,1,1,4,1,1,1,4,1,1,1,4,1
1,4,0,7,0,4,4,1,4,4,0,7,0,4,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,1
1,0,0,0,0,1,5,1,6,1,0,0,0,0,1
1,0,1,1,0,1,0,1,0,1,0,1,1,0,1
1,2,1,1,0,0,3,3,3,0,0,1,1,2,1
1,0,1,1,1,1,0,1,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
